entry_atr_mult,sl_atr_mult,tp_atr_mult,min_hold,max_hold,cooldown,trade_direction,long_threshold,short_threshold,ret,sharpe,sortino,maxdd,n_trades,n_long,n_short
0.0,1.0,2.5,6,24,2,long_only,0.58,0.42,2.5867002724712025,3.653341826874334,3.9929173677724608,-0.1074310460961736,369,369,0
0.0,1.0,3.0,6,24,3,long_only,0.58,0.42,2.495330664770864,3.6213357922380767,3.8874225426512172,-0.09832100615887875,342,342,0
0.0,1.0,3.0,12,24,6,long_only,0.65,0.35,2.676623932786713,3.5774841286562555,3.576914256096976,-0.13125941545060166,259,259,0
0.0,1.0,3.0,12,24,3,long_only,0.72,0.28,2.339419235494274,3.557510575684548,3.521233400502632,-0.12684998837482359,261,261,0
0.0,1.0,2.0,6,72,6,long_only,0.72,0.28,1.7249613181238095,3.549964337560983,3.4724700575660705,-0.11113953907246402,245,245,0
0.0,1.0,3.0,6,72,2,long_only,0.58,0.42,2.498455242614812,3.4850077155461023,4.1139053228243405,-0.1189276417541533,269,269,0
0.0,1.0,3.0,6,24,3,long_only,0.6,0.4,2.3258567035340847,3.4805037155597076,3.641638032428907,-0.11782882967124635,334,334,0
0.0,1.0,2.5,6,72,2,long_only,0.58,0.42,2.476107701153254,3.463380930096618,3.8505155278660532,-0.12294145792535405,303,303,0
0.0,1.0,2.5,6,72,2,long_only,0.6,0.4,2.433998728272463,3.45648959185877,3.8206704991043905,-0.15536842688606006,299,299,0
0.0,1.0,2.5,6,24,6,long_only,0.76,0.24,1.532834404829678,3.456217530624246,3.149507404124718,-0.1214659190052125,250,250,0
0.0,1.0,3.0,12,24,2,long_only,0.58,0.42,2.760415805650935,3.437977842378597,3.761259949018705,-0.15323893359886087,322,322,0
0.0,1.5,2.0,6,72,6,long_only,0.65,0.35,1.8499028516783116,3.403188558548153,3.40517947363666,-0.14459566697444684,233,233,0
0.0,1.0,2.0,6,24,2,long_only,0.58,0.42,2.2824136860884745,3.400196557241166,3.48652333391483,-0.1156850370469431,385,385,0
0.0,1.0,2.5,6,24,2,long_only,0.6,0.4,2.212572274591909,3.3867845205345004,3.643833880012717,-0.13542883546817525,365,365,0
0.0,1.0,3.0,6,72,3,long_only,0.58,0.42,2.3014317492060608,3.384811731343755,3.8258427753622746,-0.15416225370182396,257,257,0
0.0,1.0,2.5,12,24,6,long_only,0.65,0.35,2.353066364602445,3.357703565220999,3.256405910212883,-0.13659147271644256,264,264,0
0.0,1.5,2.0,6,72,6,long_only,0.72,0.28,1.5955983125699356,3.3337110790462963,3.371058460528506,-0.14228604546042775,216,216,0
0.0,1.0,3.0,12,72,3,long_only,0.58,0.42,2.564086194506704,3.3151006874462565,3.81263865732658,-0.10737891475419845,238,238,0
0.0,1.0,3.0,12,72,3,long_only,0.6,0.4,2.5393513941184547,3.3150201121333356,3.8389977510897753,-0.13696393787231156,232,232,0
0.3,1.0,3.0,6,72,2,long_only,0.58,0.42,2.283713239862821,3.311929655632627,3.9099828887056067,-0.14223687523928782,269,269,0
0.0,1.0,3.0,12,24,6,long_only,0.58,0.42,2.349056775038671,3.300412307625355,3.3992108846349103,-0.10555003501477347,281,281,0
0.0,1.0,3.0,6,24,2,long_only,0.58,0.42,2.209830846727653,3.2973277577215754,3.642691696022097,-0.09689628135219236,352,352,0
0.3,1.0,2.5,6,24,2,long_only,0.58,0.42,2.106384539383693,3.2909794750543804,3.575012518140758,-0.11786475841028468,369,369,0
0.0,1.0,3.0,6,72,3,long_only,0.63,0.37,2.1393081058426135,3.2858046192293284,3.630484735923177,-0.16407795826637792,245,245,0
0.0,1.0,3.0,6,48,3,long_only,0.58,0.42,2.1706215402798312,3.2804114841620264,3.653247765553397,-0.13967044039122242,284,284,0
0.0,1.0,2.0,6,48,6,long_only,0.72,0.28,1.5125538039263686,3.2747763328704953,3.130629454399293,-0.1512118778835652,252,252,0
0.0,1.0,2.5,6,72,3,long_only,0.58,0.42,2.146070902271436,3.258160545108102,3.4802223470651796,-0.13082532947595138,285,285,0
0.0,1.0,2.0,6,72,2,long_only,0.6,0.4,2.1256415665977197,3.2463031845930046,3.4379064894001745,-0.16495547283692402,326,326,0
0.0,1.0,2.0,6,72,2,long_only,0.58,0.42,2.143855510658237,3.241458047775617,3.4755621767825984,-0.15626838861756356,329,329,0
0.0,1.0,3.0,6,24,3,long_only,0.72,0.28,1.70666260502046,3.230535522633853,3.1224820107218028,-0.10737891475419523,279,279,0
0.0,1.0,2.5,6,24,2,long_only,0.65,0.35,2.053418466168578,3.217373149310324,3.2258917942683794,-0.13530604630998386,337,337,0
0.0,1.0,3.0,12,72,3,long_only,0.63,0.37,2.5261958764936017,3.2169223376255953,3.6532775606614636,-0.14623445632573148,221,221,0
0.0,1.0,2.5,6,72,2,long_only,0.63,0.37,2.1180560928562833,3.2088513797664655,3.472959455701521,-0.17221706528392938,286,286,0
0.0,1.0,2.5,12,24,3,long_only,0.72,0.28,1.970863090057688,3.2063640298036624,3.1161141640075662,-0.1307470010911301,267,267,0
0.0,1.0,2.0,6,48,2,long_only,0.58,0.42,2.066022901509911,3.193465437725629,3.377513520675889,-0.1515370184869879,343,343,0
0.6,1.0,2.5,6,24,2,long_only,0.58,0.42,1.9941818969830005,3.1863109951142623,3.4565892363976913,-0.11918062798430848,369,369,0
0.3,1.0,3.0,12,24,6,long_only,0.65,0.35,2.1565031219441684,3.1858213175819414,3.18311128114637,-0.13163957442971935,259,259,0
0.0,1.0,2.0,6,24,2,long_only,0.6,0.4,2.0453514320670276,3.180130744888904,3.184860898183723,-0.131889696075086,381,381,0
0.0,1.0,3.0,6,48,2,long_only,0.58,0.42,2.0854454406543987,3.1795392964318094,3.644204129449148,-0.11892764175414736,293,293,0
0.0,1.5,2.0,6,72,6,long_only,0.6799999999999999,0.32,1.6335237181771358,3.175805464237137,3.1757614719006404,-0.1409052999798238,229,229,0
0.0,1.0,2.5,6,72,3,long_only,0.6,0.4,2.040404143268572,3.1753355267044303,3.3830945011913856,-0.15295890741141366,279,279,0
0.0,1.0,2.0,6,72,2,long_only,0.63,0.37,2.0536892459505887,3.1726261148557247,3.284526012624735,-0.17739558488839124,316,316,0
0.3,1.0,3.0,12,24,3,long_only,0.72,0.28,1.8928271210778447,3.170869332232289,3.1161607778531573,-0.1222437263172871,261,261,0
0.6,1.0,3.0,12,24,3,long_only,0.72,0.28,1.8698765626152474,3.158355583218156,3.1062621438753215,-0.11943836663002523,261,261,0
0.0,1.0,3.0,12,48,3,long_only,0.58,0.42,2.392794974454507,3.1538063287743117,3.5296959721283905,-0.11795213380338691,255,255,0
0.0,1.0,2.5,12,72,6,long_only,0.63,0.37,2.1609984866036465,3.147097256370712,3.275764504228506,-0.1689763651670038,221,221,0
0.3,1.5,2.0,6,72,6,long_only,0.65,0.35,1.5978317514244904,3.1461944843856338,3.132747896764437,-0.1581022788049649,233,233,0
0.0,1.0,3.0,6,24,2,long_only,0.6,0.4,1.9876215843952028,3.1401574230832745,3.3845423541363537,-0.11812228551295692,343,343,0
0.0,1.0,2.5,12,72,3,long_only,0.6,0.4,2.330904509251847,3.1393069650365204,3.4988452954136937,-0.1400902871555651,252,252,0
0.0,1.0,2.5,12,72,6,long_only,0.6,0.4,2.083871189638459,3.1354986141615204,3.2925990307686024,-0.1199404165556354,230,230,0
0.0,1.0,2.5,12,24,6,long_only,0.63,0.37,2.1699540637005996,3.1340018608614106,3.0800038264528573,-0.13659147271644181,273,273,0
0.0,1.0,3.0,12,48,3,long_only,0.6,0.4,2.3215583457437465,3.1312009991973735,3.5385862667617958,-0.1389515846907391,251,251,0
0.0,1.5,2.0,6,48,6,long_only,0.65,0.35,1.6015264994507081,3.1301240140490467,3.0809002537095718,-0.16690605289670793,244,244,0
0.0,1.0,3.0,12,24,2,long_only,0.72,0.28,2.0813406903235485,3.1269625432309778,3.1434034160611484,-0.13559137922859438,268,268,0
0.3,1.0,3.0,6,24,3,long_only,0.58,0.42,1.8908285868816086,3.1240814433138677,3.315861887353016,-0.10219764925064627,342,342,0
0.0,1.0,2.0,6,24,2,long_only,0.63,0.37,1.9736673289685176,3.12095466341525,3.0502862968888445,-0.1309313922746992,364,364,0
0.0,1.0,3.0,6,48,3,long_only,0.6,0.4,1.9971222088865557,3.1145467068410904,3.424607593312517,-0.16304755013688516,278,278,0
0.0,1.0,3.0,6,48,3,long_only,0.65,0.35,1.8925590115952189,3.1141975043882955,3.3258708803390435,-0.16505677368949498,260,260,0
0.3,1.0,2.5,6,24,2,long_only,0.6,0.4,1.8863339694958596,3.1130093567701507,3.341085531512592,-0.1389589526788977,365,365,0
0.0,1.0,3.0,12,24,6,long_only,0.63,0.37,2.1679080779590088,3.1126883350535306,3.139342912146286,-0.13125941545060096,268,268,0
0.0,2.5,2.0,6,72,6,long_only,0.72,0.28,1.5946821168060867,3.1126537316916765,3.1617554345396486,-0.16585434829979254,187,187,0
0.3,1.0,2.0,6,72,6,long_only,0.72,0.28,1.366981817403742,3.1112820375437225,3.018875747758703,-0.11739547214838755,245,245,0
0.3,1.0,2.5,6,72,2,long_only,0.58,0.42,2.015013794640069,3.10868197528528,3.4253218294729826,-0.13412953133847044,303,303,0
0.0,1.0,3.0,6,72,2,long_only,0.63,0.37,2.003748884142634,3.1066151106116413,3.4684835037088315,-0.1680685524866602,254,254,0
0.3,1.0,3.0,12,24,6,long_only,0.58,0.42,2.095097241657361,3.1061438825792815,3.199896743071185,-0.10144336356762346,281,281,0
0.0,1.0,3.0,6,72,3,long_only,0.65,0.35,1.898568155578662,3.1028749226432746,3.373530078303056,-0.16407795826638,240,240,0
0.0,1.0,2.0,6,24,2,long_only,0.65,0.35,1.9197890626608523,3.1018553026518965,2.957416109492598,-0.12672122091141585,353,353,0
0.6,1.0,3.0,12,24,2,long_only,0.72,0.28,1.9867744989225509,3.101680656097914,3.112384006667096,-0.12452489532089246,268,268,0
0.0,1.0,3.0,6,24,3,long_only,0.63,0.37,1.8850891925390347,3.101208341332909,3.222051481711317,-0.13963521753261698,316,316,0
0.3,1.0,3.0,6,72,2,long_only,0.63,0.37,1.9980708606591153,3.098361104875298,3.469149048825844,-0.15966374458958957,254,254,0
0.0,1.0,3.0,6,72,3,long_only,0.6,0.4,1.9873666364939901,3.096459666964966,3.4506238136914615,-0.17970300441392534,251,251,0
0.0,1.0,3.0,12,24,6,long_only,0.6799999999999999,0.32,2.010470375017873,3.092687514164372,2.9355420486141606,-0.14453508658481176,253,253,0
0.0,1.0,2.0,6,72,3,long_only,0.6,0.4,1.824180911375016,3.0909806976422756,3.2361741712617165,-0.17760428176855358,311,311,0
0.0,1.0,2.5,12,48,6,long_only,0.63,0.37,2.193225689239647,3.087508259391984,3.1311735937054737,-0.13891906701611467,233,233,0
0.6,1.0,3.0,6,72,2,long_only,0.58,0.42,1.990052537348654,3.0743314172221523,3.6016537649317995,-0.13763699886748437,269,269,0
0.0,1.0,2.5,12,72,6,long_only,0.58,0.42,2.0298385056796415,3.0739362551104397,3.2429622244640317,-0.148463795979996,232,232,0
0.6,1.0,2.5,12,72,6,long_only,0.63,0.37,2.052275628707632,3.0710742426140483,3.210386553207952,-0.1615249800430577,221,221,0
0.3,1.0,3.0,12,24,2,long_only,0.72,0.28,1.9875938932923,3.0654966947722277,3.0921874124053,-0.12731404996128717,268,268,0
0.0,1.0,3.0,6,72,2,long_only,0.6,0.4,2.005230333449696,3.063345312148583,3.510448132778093,-0.161548806217485,264,264,0
0.0,1.0,2.5,6,72,2,long_only,0.65,0.35,1.9518975090162445,3.0631279359529784,3.301246942172606,-0.17221706528392938,281,281,0
0.0,1.0,3.0,6,48,3,long_only,0.63,0.37,1.9196881717135708,3.063042412612067,3.3332802799165067,-0.1804242844914246,268,268,0
0.0,1.0,2.5,12,72,6,long_only,0.6799999999999999,0.32,2.003539162331505,3.061016351219984,3.1518175572112748,-0.1487620486731245,205,205,0
0.3,1.0,2.5,6,72,2,long_only,0.6,0.4,1.9445369730581734,3.059476272702473,3.3576808020854187,-0.16346326089150837,299,299,0
0.6,1.0,2.5,6,72,2,long_only,0.58,0.42,1.9526256423105792,3.05125860388146,3.361173917466813,-0.12854227086017783,303,303,0
0.0,1.0,2.0,6,48,2,long_only,0.6,0.4,1.9203866436274675,3.050589424641432,3.183986907696911,-0.16977608425562019,340,340,0
0.0,1.5,2.0,6,48,6,long_only,0.72,0.28,1.4078313802045845,3.049420516329445,3.006722684165027,-0.1727069389824241,226,226,0
0.3,1.0,3.0,6,72,2,long_only,0.6,0.4,1.99629213036525,3.0471097829977363,3.509934329246358,-0.1722318331981477,264,264,0
0.6,1.0,2.0,6,72,6,long_only,0.72,0.28,1.3028695490301199,3.0446987773881977,2.9544980895449338,-0.123665930219819,245,245,0
0.3,1.0,3.0,12,24,2,long_only,0.58,0.42,2.1782104776618345,3.036680220800505,3.3011851234229175,-0.1446263601860874,322,322,0
0.0,1.0,3.0,6,48,3,long_only,0.6799999999999999,0.32,1.7903118521513912,3.0312574501188854,3.2358190975639123,-0.14934306590535618,252,252,0
0.0,1.0,2.5,6,24,3,long_only,0.58,0.42,1.9592526212461245,3.028134215894434,3.0282268151159673,-0.10518534469659875,351,351,0
0.6,1.0,3.0,12,24,6,long_only,0.65,0.35,1.9561878191826678,3.0278629636781327,3.0133980486803527,-0.12985690074909997,259,259,0
0.0,1.0,2.0,6,72,3,long_only,0.58,0.42,1.8039091731445596,3.0270634194734596,3.178639268028528,-0.17669726725287646,318,318,0
0.0,1.5,2.5,6,24,6,long_only,0.76,0.24,1.3215425400796246,3.0260942642773525,2.7512063586827082,-0.15957117561532386,234,234,0
0.0,1.0,3.0,6,72,2,long_only,0.65,0.35,1.8765211692865282,3.0256830528065373,3.361699846850723,-0.16806855248666205,249,249,0
0.6,1.0,2.0,6,48,2,long_only,0.58,0.42,1.832081863524753,3.0209752733717745,3.1614937772394196,-0.15802810257171393,343,343,0
0.0,1.0,2.5,6,48,2,long_only,0.58,0.42,1.9398576275051935,3.019588766485733,3.2968003128715346,-0.1408725583396813,318,318,0
0.0,1.0,2.5,12,72,3,long_only,0.63,0.37,2.171949071792301,3.016889719867127,3.3125372967138884,-0.15131440148497174,237,237,0
0.6,1.0,2.5,12,72,6,long_only,0.6,0.4,1.9149870123046915,3.014212609770937,3.1771850403689412,-0.13366269054316315,230,230,0
0.0,1.0,2.5,6,48,2,long_only,0.65,0.35,1.8612660528517844,3.0136760387765213,3.178264314461205,-0.1685340598141072,289,289,0
